taxa,Env,DON_ppm,Vibe,Manual,Visual,NIR
X13VTK429.3,FSC19,22.92,14.22,7.5,10,75
X13VTK429.3,FSC19,20.64,15.48,6.5,20,67
X13VTK429.3,FSC19,15.8,9.78,4.7,10,56
X13VTK429.3,FSC20,NA,NA,4.1,10,50
X13VTK429.3,FSC20,NA,NA,NA,10,45
X13VTK429.3,WLA20,NA,1.51,1.905717151,1,59
X13VTK429.3,WLA20,NA,1.32,1.098901099,1,49
X13VTK429.3,WVA19,7.68,25.21,14.29,40,59
X13VTK429.3,WVA19,5.36,22.1,16.13,25,63
X13VTK434.89,FSC19,0.4,3.72,0,0,35
X13VTK434.89,WVA19,4.08,11.29,7.56,15,47
X13VTK434.89,WVA19,2.76,11.42,4.3,5,48
X14VDH.SRW14.150,FSC20,NA,NA,NA,35,32
X14VDH.SRW14.150,WLA20,NA,10.59,11.22244489,15,64
X14VDH.SRW14.150,WLA20,NA,7.24,13.23971916,40,68
X15VDH.FHB.MAS17.23,FSC20,NA,NA,4.61,5,46
X15VDH.FHB.MAS17.23,FSC20,NA,NA,3.55,5,44
X15VDH.FHB.MAS22.14,FSC19,8.92,19.84,5.2,15,46
X15VDH.FHB.MAS22.14,FSC19,4.6,9.05,1.8,5,31
X15VDH.FHB.MAS22.14,FSC20,NA,NA,0.51,5,41
X15VDH.FHB.MAS22.14,FSC20,NA,NA,1.81,5,36
X15VDH.FHB.MAS22.15,FSC19,15,36.77,8.1,25,45
X15VDH.FHB.MAS22.15,FSC19,13.48,30.58,10.5,15,59
X15VDH.FHB.MAS33.13,FSC20,NA,NA,NA,0,28
X15VDH.FHB.MAS33.13,WLA20,NA,5.8,6.633165829,10,48
X15VDH.FHB.MAS33.13,WLA20,NA,4.06,3.803803804,5,53
X15VDH.FHB.MAS33.30,FSC19,10,19.45,6.2,10,49
X15VDH.FHB.MAS33.30,FSC19,9.36,18.74,3.8,10,42
X15VDH.FHB.MAS33.30,FSC19,8.76,5.76,4.5,10,57
X15VDH.FHB.MAS33.30,WVA19,4.96,23.56,14.99,10,61
X15VDH.FHB.MAS33.30,WVA19,1.96,9.93,5.1,15,47
X15VDH.FHB.MAS34.18,FSC20,NA,NA,1.82,5,45
X15VDH.FHB.MAS34.18,FSC20,NA,NA,2.41,5,42
X15VDH.FHB.MAS34.18,FSC20,NA,NA,NA,5,36
X15VDH.FHB.MAS34.18,WLA20,NA,6.84,9.309309309,10,58
X15VDH.FHB.MAS34.18,WLA20,NA,2.16,5.888223553,15,65
X15VDH.FHB.MAS38.01,FSC20,NA,NA,3.15,15,32
X15VDH.FHB.MAS38.01,FSC20,NA,NA,2.09,NA,37
X15VDH.FHB.MAS38.01,FSC20,NA,NA,NA,5,33
X15VDH.FHB.MAS38.01,WLA20,NA,12.32,22.1664995,30,72
X15VDH.FHB.MAS38.01,WLA20,NA,14.35,15.20644512,25,59
X15VDH.FHB.MAS41.13,FSC19,18.44,21.55,8.1,10,46
X15VDH.FHB.MAS41.13,FSC19,15.6,12.47,13.3,15,49
X16VDH.SRW01.120,FSC20,NA,2.2,0.69,5,29
X16VDH.SRW01.120,FSC20,NA,NA,1,NA,34
X16VDH.SRW03.023,FSC20,NA,NA,NA,15,39
X16VDH.SRW03.023,WLA20,NA,2.78,4.695304695,5,54
X16VDH.SRW03.023,WLA20,NA,1.67,4.604604605,5,61
X16VDH.SRW04.028,FSC20,NA,NA,5.6,10,40
X16VDH.SRW04.028,WLA20,NA,3.09,4.104104104,5,59
X16VDH.SRW04.028,WLA20,NA,2.96,2.708124373,1,54
X16VDH.SRW05.205,FSC20,NA,NA,NA,25,42
X16VDH.SRW05.205,WLA20,NA,13.81,14.61461461,20,76
X16VDH.SRW05.205,WLA20,NA,12.78,17.28271728,10,80
X16VDH.SRW06.131,FSC20,NA,8.58,0.99,20,40
X16VDH.SRW06.131,FSC20,NA,NA,4.5,25,47
X16VDH.SRW07.067,FSC20,NA,NA,NA,10,38
X16VDH.SRW07.067,WLA20,NA,13,20.44088176,30,74
